City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Clouds (Numberic)
60,lihue,21.9789,-159.3672,71.19,94,scattered clouds,0.0,US,2024-12-09 12:06:29,40
61,vorgashor,67.5833,63.95,16.21,95,light snow,12.8,RU,2024-12-09 12:06:31,100
62,taoudenni,22.6783,-3.9836,74.93,12,few clouds,0.81,ML,2024-12-09 12:06:32,24
63,i-n-salah,27.1935,2.4607,68.34,21,few clouds,6.22,DZ,2024-12-09 12:06:33,24
64,praia da vitoria,38.7333,-27.0667,66.45,68,scattered clouds,11.32,PT,2024-12-09 12:06:34,40
65,shchyolkino,45.4291,35.8223,49.8,90,few clouds,11.9,UA,2024-12-09 12:06:35,12
66,stanley,54.868,-1.6985,42.19,83,scattered clouds,6.91,GB,2024-12-09 12:06:36,40
67,kavaratti,10.5669,72.642,81.82,74,broken clouds,8.46,IN,2024-12-09 12:06:37,66
68,sirte,31.2089,16.5887,66.63,36,overcast clouds,3.2,LY,2024-12-09 12:06:38,99
69,pangoa,-12.1167,-73.0,68.54,99,overcast clouds,3.02,PE,2024-12-09 12:06:39,100
70,margaret river,-33.95,115.0667,55.98,83,clear sky,12.33,AU,2024-12-09 12:06:41,0
71,touros,-5.1989,-35.4608,85.1,57,clear sky,16.87,BR,2024-12-09 12:06:42,10
72,adamstown,-25.066,-130.1015,73.0,75,clear sky,17.9,PN,2024-12-09 12:06:43,3
73,college,64.8569,-147.8028,30.18,74,broken clouds,9.22,US,2024-12-09 12:06:44,75
74,whitehorse,60.7161,-135.0538,14.31,92,broken clouds,5.01,CA,2024-12-09 12:06:45,84
75,xai-xai,-25.0519,33.6442,79.3,77,scattered clouds,9.6,MZ,2024-12-09 12:06:46,26
76,ngama,11.7833,17.1667,86.54,21,scattered clouds,8.77,TD,2024-12-09 12:06:47,27
77,haiku-pauwela,20.9219,-156.3051,74.05,71,few clouds,13.0,US,2024-12-09 12:06:48,20
78,wahpeton,46.2652,-96.6059,24.82,100,overcast clouds,27.63,US,2024-12-09 12:06:08,100
79,severo-yeniseyskiy,60.3725,93.0408,4.87,88,overcast clouds,14.83,RU,2024-12-09 12:06:50,100
80,khovd,48.0056,91.6419,8.33,76,overcast clouds,3.98,MN,2024-12-09 12:06:51,100
81,faya-largeau,17.9257,19.1043,77.9,20,clear sky,12.41,TD,2024-12-09 12:02:12,4
82,tiksi,71.6872,128.8694,-23.78,100,overcast clouds,5.46,RU,2024-12-09 12:06:54,88
83,aginskoye,51.1,114.53,10.85,77,clear sky,16.87,RU,2024-12-09 12:06:55,9
84,lompoc,34.6391,-120.4579,57.92,76,scattered clouds,6.91,US,2024-12-09 12:06:56,40
85,san patricio,28.017,-97.5169,62.55,63,broken clouds,9.93,US,2024-12-09 12:06:57,60
86,constantia,44.1833,28.65,45.7,84,scattered clouds,11.01,RO,2024-12-09 12:06:58,37
87,kodiak,57.79,-152.4072,40.51,93,light rain,8.05,US,2024-12-09 12:06:59,100
88,shiyan,32.6475,110.7781,39.34,45,overcast clouds,1.43,CN,2024-12-09 12:07:00,99
89,longyearbyen,78.2186,15.6401,28.24,69,light snow,10.36,SJ,2024-12-09 12:07:01,75
90,beledweyne,4.7358,45.2036,88.0,24,scattered clouds,9.26,SO,2024-12-09 12:07:02,31
91,sinabang,2.4803,96.3801,80.22,82,overcast clouds,4.61,ID,2024-12-09 12:07:04,100
92,veraval,20.9,70.3667,68.56,25,overcast clouds,12.01,IN,2024-12-09 12:07:05,100
93,hawaiian paradise park,19.5933,-154.9731,68.9,88,broken clouds,5.75,US,2024-12-09 12:07:06,75
94,badger,64.8,-147.5333,30.11,82,broken clouds,9.22,US,2024-12-09 12:07:07,75
95,ghadamis,30.1337,9.5007,59.25,40,broken clouds,5.73,LY,2024-12-09 12:07:08,72
96,mossel bay,-34.1831,22.146,78.73,74,broken clouds,4.92,ZA,2024-12-09 12:02:27,79
97,port lincoln,-34.7333,135.8667,60.75,78,clear sky,12.1,AU,2024-12-09 12:07:10,0
98,punta arenas,-53.15,-70.9167,55.51,50,broken clouds,20.71,CL,2024-12-09 12:06:48,75
99,butterworth,5.3991,100.3638,78.84,89,light rain,4.61,MY,2024-12-09 12:07:12,40
100,harstad,68.799,16.5293,43.16,97,moderate rain,44.0,NO,2024-12-09 12:07:13,100
101,tucurui,-3.7661,-49.6725,89.37,53,scattered clouds,3.56,BR,2024-12-09 12:07:14,36
102,itoman,26.1247,127.6694,62.1,64,broken clouds,9.24,JP,2024-12-09 12:07:16,56
103,mooirivier,-29.2082,29.9946,79.5,38,broken clouds,7.14,ZA,2024-12-09 12:07:17,62
104,lorengau,-2.0226,147.2712,80.37,82,overcast clouds,5.66,PG,2024-12-09 12:07:18,93
105,yung shue wan,22.2333,114.1167,67.62,77,scattered clouds,1.99,HK,2024-12-09 12:07:19,40
106,north platte,41.1239,-100.7654,40.89,50,clear sky,20.0,US,2024-12-09 12:07:20,0
107,east london,-33.0153,27.9116,76.62,83,broken clouds,5.19,ZA,2024-12-09 12:07:21,51
108,port douglas,-16.4833,145.4667,77.16,82,overcast clouds,5.03,AU,2024-12-09 12:07:22,88
109,klyuchi,52.2667,79.1667,-13.27,100,broken clouds,1.63,RU,2024-12-09 12:07:23,57
110,rosetta,31.4044,30.4164,64.29,64,overcast clouds,9.15,EG,2024-12-09 12:07:24,100
111,zeya,53.75,127.2667,4.82,98,light snow,1.3,RU,2024-12-09 12:07:26,100
112,cabo san lucas,22.8909,-109.9124,77.5,58,few clouds,2.3,MX,2024-12-09 12:07:28,20
113,kilindoni,-7.9139,39.6668,82.06,77,clear sky,10.33,TZ,2024-12-09 12:07:29,10
114,kyren,51.6828,102.1408,5.74,98,overcast clouds,1.39,RU,2024-12-09 12:07:30,99
115,panaba,21.2833,-88.2667,81.93,52,overcast clouds,9.44,MX,2024-12-09 12:07:31,100
116,ancud,-41.8697,-73.8203,55.53,60,few clouds,9.31,CL,2024-12-09 12:03:53,19
117,paradip garh,20.3167,86.6167,74.86,67,overcast clouds,4.74,IN,2024-12-09 12:07:34,100
118,bilibino,68.0546,166.4372,-19.1,94,scattered clouds,0.56,RU,2024-12-09 12:07:35,48
119,saipan,15.1355,145.701,79.5,82,scattered clouds,6.91,MP,2024-12-09 12:04:23,40
120,kidal,18.4411,1.4078,72.59,8,clear sky,3.78,ML,2024-12-09 12:07:37,6
121,ingeniero luis a. huergo,-39.0833,-67.2333,81.57,17,broken clouds,6.89,AR,2024-12-09 12:07:38,56
122,yaransk,57.3033,47.8861,28.08,97,light snow,9.78,RU,2024-12-09 12:07:39,100
123,cidreira,-30.1811,-50.2056,65.53,84,overcast clouds,17.11,BR,2024-12-09 12:07:40,100
124,moranbah,-22.0016,148.0466,78.39,59,scattered clouds,5.03,AU,2024-12-09 12:07:41,30
125,fortaleza,-3.7227,-38.5247,86.13,62,scattered clouds,18.41,BR,2024-12-09 12:05:10,40
126,hadibu,12.65,54.0333,76.69,64,scattered clouds,15.68,YE,2024-12-09 12:07:44,27
127,holualoa,19.6228,-155.9522,69.87,66,clear sky,5.75,US,2024-12-09 12:07:45,0
128,villa de el carmen tequexquitla,19.3278,-97.65,66.4,23,broken clouds,4.07,MX,2024-12-09 12:07:46,77
129,cabinda,-5.55,12.2,80.74,85,light rain,6.38,AO,2024-12-09 12:07:47,54
130,giyani,-23.3025,30.7187,87.08,37,light rain,6.49,ZA,2024-12-09 12:07:48,53
131,lupane,-18.9315,27.807,85.84,26,overcast clouds,2.91,ZW,2024-12-09 12:07:49,92
132,xining,36.6167,101.7667,20.52,96,light snow,3.15,CN,2024-12-09 12:07:50,100
133,gisborne,-38.6533,178.0042,63.28,92,broken clouds,8.5,NZ,2024-12-09 12:07:51,63
134,nova sintra,14.8667,-24.7167,76.21,69,clear sky,15.75,CV,2024-12-09 12:07:52,1
135,chanute,37.6792,-95.4572,50.11,81,overcast clouds,9.22,US,2024-12-09 12:07:54,100
136,groningen,53.25,6.75,43.02,83,overcast clouds,16.11,NL,2024-12-09 12:07:55,100
137,crane,31.3974,-102.3501,64.8,22,clear sky,21.81,US,2024-12-09 12:07:56,3
138,usinsk,65.9939,57.5281,16.41,95,light snow,15.35,RU,2024-12-09 12:07:57,100
139,benghazi,32.1167,20.0667,66.42,56,overcast clouds,11.12,LY,2024-12-09 12:07:58,100
140,olonkinbyen,70.9221,-8.7187,29.17,98,overcast clouds,7.76,SJ,2024-12-09 12:07:59,100
141,ulcinj,41.9294,19.2244,48.97,89,overcast clouds,12.17,ME,2024-12-09 12:08:00,100
142,arraial do cabo,-22.9661,-42.0278,82.26,74,clear sky,9.22,BR,2024-12-09 12:07:36,0
143,antsiranana,-12.2787,49.2917,78.69,77,broken clouds,9.26,MG,2024-12-09 12:07:13,59
144,manaure,11.7751,-72.4445,87.53,57,clear sky,22.66,CO,2024-12-09 12:08:03,1
145,petropavlovsk-kamchatsky,53.0452,158.6483,23.59,68,light snow,4.47,RU,2024-12-09 12:08:04,75
146,hualien city,23.9769,121.6044,64.33,93,overcast clouds,3.98,TW,2024-12-09 12:08:07,94
147,suva,-18.1416,178.4415,76.48,94,scattered clouds,4.61,FJ,2024-12-09 12:06:11,40
148,knyaze-volkonskoye,48.4642,135.4567,-1.86,100,scattered clouds,3.42,RU,2024-12-09 12:08:09,45
149,hamilton,39.1834,-84.5333,56.19,86,overcast clouds,11.5,US,2024-12-09 12:08:10,100
150,cruzeiro do sul,-29.5128,-51.9853,73.53,76,overcast clouds,6.89,BR,2024-12-09 12:08:11,95
151,shahr-e babak,30.1165,55.1186,47.66,30,scattered clouds,0.36,IR,2024-12-09 12:08:12,44
152,crucecita,-28.95,-58.9833,74.82,48,overcast clouds,11.77,AR,2024-12-09 12:08:13,89
153,west island,-12.1568,96.8225,80.58,94,light intensity drizzle,23.02,CC,2024-12-09 12:08:14,75
154,axim,4.8699,-2.2405,81.91,73,light rain,7.16,GH,2024-12-09 12:08:16,83
155,bogale,16.2833,95.4,76.57,81,scattered clouds,6.06,MM,2024-12-09 12:08:17,34
156,puerto baquerizo moreno,-0.9,-89.6,77.99,73,broken clouds,13.8,EC,2024-12-09 12:08:18,75
157,kostomuksha,64.571,30.5767,27.01,77,snow,11.43,RU,2024-12-09 12:08:19,89
158,kenora,49.8167,-94.4337,18.57,86,light snow,9.22,CA,2024-12-09 12:08:20,100
159,fale old settlement,-9.3852,-171.2468,82.69,68,broken clouds,8.55,TK,2024-12-09 12:08:21,79
160,corni,47.65,26.5833,37.56,99,snow,12.66,RO,2024-12-09 12:08:22,75
161,tomatlan,19.9333,-105.25,89.17,33,scattered clouds,1.95,MX,2024-12-09 12:08:23,34
162,kapa'a,22.0752,-159.319,71.92,94,scattered clouds,0.0,US,2024-12-09 12:08:24,40
163,mermoz boabab,14.7065,-17.4758,79.2,44,overcast clouds,9.04,SN,2024-12-09 12:08:27,93
164,mejit,10.2753,170.8646,81.99,70,few clouds,22.88,MH,2024-12-09 12:08:28,12
165,labrador city,52.9463,-66.9114,8.19,66,few clouds,11.99,CA,2024-12-09 12:06:25,20
166,callao,-12.0667,-77.15,70.09,73,few clouds,10.36,PE,2024-12-09 12:08:30,20
167,udachny,66.4167,112.4,-28.59,100,overcast clouds,3.29,RU,2024-12-09 12:08:31,98
168,tual,-5.6667,132.75,83.73,73,overcast clouds,9.98,ID,2024-12-09 12:08:32,94
169,north bend,43.4065,-124.2243,41.25,93,clear sky,3.44,US,2024-12-09 12:08:33,0
170,christchurch,-43.5333,172.6333,51.94,53,clear sky,6.91,NZ,2024-12-09 12:06:45,0
171,tasqala,51.1167,50.3167,19.94,73,overcast clouds,7.31,KZ,2024-12-09 12:08:37,100
172,miahuatlan de porfirio diaz,16.3333,-96.6,74.61,39,clear sky,4.83,MX,2024-12-09 12:08:38,0
173,prince rupert,54.3161,-130.3201,36.81,81,overcast clouds,6.98,CA,2024-12-09 12:08:39,94
174,clarkston heights-vineland,46.3874,-117.083,38.8,82,overcast clouds,3.44,US,2024-12-09 12:08:40,100
175,kuldiga,56.974,21.9572,29.53,87,clear sky,5.59,LV,2024-12-09 12:08:41,7
176,qaqortoq,60.7167,-46.0333,26.24,80,overcast clouds,8.46,GL,2024-12-09 12:08:42,100
177,mount isa,-20.7333,139.5,80.37,78,scattered clouds,5.75,AU,2024-12-09 12:08:43,42
178,west bay,19.3667,-81.4167,84.27,65,scattered clouds,13.8,KY,2024-12-09 12:08:44,40
179,acapulco de juarez,16.8634,-99.8901,85.82,51,clear sky,3.44,MX,2024-12-09 12:06:15,0
180,santiago del estero,-27.7951,-64.2615,75.47,47,overcast clouds,6.42,AR,2024-12-09 12:08:46,97
181,jiayuguan,39.8167,98.3,20.43,83,light snow,1.57,CN,2024-12-09 12:05:32,100
182,wenxing,28.6667,112.8833,44.31,69,overcast clouds,7.74,CN,2024-12-09 12:08:49,100
183,bengkulu,-3.8004,102.2655,77.22,91,overcast clouds,7.16,ID,2024-12-09 12:07:41,92
184,afaahiti,-17.75,-149.2833,77.14,82,light rain,21.74,PF,2024-12-09 12:08:51,88
185,quellon,-43.1167,-73.6167,55.8,58,broken clouds,7.78,CL,2024-12-09 12:08:53,55
186,tot'ma,59.9747,42.7642,17.4,96,broken clouds,4.43,RU,2024-12-09 12:08:54,57
187,ribeira grande,38.5167,-28.7,66.6,77,few clouds,23.02,PT,2024-12-09 12:08:55,20
188,bijie,27.3125,105.2942,34.36,98,overcast clouds,4.52,CN,2024-12-09 12:08:56,100
189,tavricheskoye,54.5851,73.6395,-8.48,99,scattered clouds,7.4,RU,2024-12-09 12:08:59,28
190,viedma,-40.8135,-62.9967,77.45,35,clear sky,18.1,AR,2024-12-09 12:09:00,9
191,salalah,17.0151,54.0924,78.89,65,scattered clouds,2.3,OM,2024-12-09 12:09:01,40
192,mbaiki,3.8678,17.9892,82.89,33,clear sky,2.44,CF,2024-12-09 12:09:02,4
193,weyburn,49.6668,-103.8511,15.4,92,overcast clouds,15.37,CA,2024-12-09 12:08:29,100
194,terrace,54.5163,-128.6035,33.71,100,mist,2.3,CA,2024-12-09 12:09:04,100
195,burutu,5.3509,5.5076,83.84,61,overcast clouds,9.89,NG,2024-12-09 12:09:05,100
196,okhotsk,59.3833,143.3,2.98,76,overcast clouds,17.67,RU,2024-12-09 12:09:06,97
197,szczecin,53.4289,14.553,43.41,88,overcast clouds,10.0,PL,2024-12-09 12:09:07,92
198,ola,59.5833,151.2833,7.47,79,overcast clouds,11.99,RU,2024-12-09 12:09:08,99
199,gadzhiyevo,69.2551,33.3362,31.53,93,light snow,29.66,RU,2024-12-09 12:09:09,100
200,eyl,7.9803,49.8164,77.04,71,broken clouds,23.22,SO,2024-12-09 12:09:11,62
201,flying fish cove,-10.4217,105.6791,76.68,94,scattered clouds,9.22,CX,2024-12-09 12:04:46,40
202,mahajanga,-15.7167,46.3167,82.83,76,clear sky,13.2,MG,2024-12-09 12:09:13,5
203,raja,8.4596,25.678,82.89,23,overcast clouds,4.29,SS,2024-12-09 12:09:14,91
204,susuman,62.7833,148.1667,-18.99,100,overcast clouds,1.03,RU,2024-12-09 12:09:15,100
205,ingeniero guillermo n. juarez,-23.9,-61.85,65.35,90,overcast clouds,6.2,AR,2024-12-09 12:09:16,100
206,coquimbo,-29.9533,-71.3436,65.98,54,clear sky,14.97,CL,2024-12-09 12:09:17,0
207,hotan,37.0997,79.9269,28.15,46,clear sky,2.59,CN,2024-12-09 12:09:18,0
208,brisas de zicatela,15.8369,-97.0419,84.72,79,clear sky,8.05,MX,2024-12-09 12:09:19,0
209,mbalmayo,3.5167,11.5,79.81,40,scattered clouds,2.35,CM,2024-12-09 12:09:20,34
210,spring creek,40.7266,-115.5859,27.81,66,clear sky,4.83,US,2024-12-09 12:06:51,2
211,bredasdorp,-34.5322,20.0403,72.55,43,few clouds,10.07,ZA,2024-12-09 12:09:22,18
212,la passe,45.5549,-0.8967,43.77,77,overcast clouds,16.55,FR,2024-12-09 12:09:24,100
213,igarka,67.4667,86.5833,11.44,95,snow,14.07,RU,2024-12-09 12:05:56,100
214,hithadhoo,-0.6,73.0833,81.82,73,overcast clouds,13.11,MV,2024-12-09 12:09:26,100
215,daru,-9.0763,143.2092,81.28,82,overcast clouds,7.7,PG,2024-12-09 12:09:27,95
216,sandnessjoen,66.0217,12.6316,42.91,93,heavy intensity rain,19.57,NO,2024-12-09 12:09:28,100
217,taroudant,30.4703,-8.877,69.19,50,overcast clouds,11.97,MA,2024-12-09 12:08:45,100
218,tolanaro,-25.0319,46.9987,75.72,76,overcast clouds,12.91,MG,2024-12-09 12:09:30,96
219,mogadishu,2.0371,45.3438,79.66,85,few clouds,19.75,SO,2024-12-09 12:09:31,15
220,villa gesell,-37.2639,-56.973,67.28,46,overcast clouds,9.13,AR,2024-12-09 12:09:32,98
221,estacion santa engracia,24.0159,-99.2015,78.94,51,broken clouds,4.56,MX,2024-12-09 12:09:33,67
222,valga,57.7778,26.0473,24.01,93,clear sky,2.95,EE,2024-12-09 12:09:34,8
223,happy valley-goose bay,53.3168,-60.3315,14.31,85,light snow,10.36,CA,2024-12-09 12:09:36,100
224,weno,7.4515,151.8468,84.0,77,overcast clouds,13.04,FM,2024-12-09 12:09:37,100
225,bikenibeu village,1.3673,173.1241,81.95,80,light rain,13.31,KI,2024-12-09 12:09:38,77
226,strzegom,50.9626,16.3501,35.82,99,moderate rain,7.78,PL,2024-12-09 12:09:39,100
227,mbandaka,0.0487,18.2603,80.29,59,broken clouds,2.3,CD,2024-12-09 12:09:40,65
228,hasaki,35.7333,140.8333,49.1,44,few clouds,9.8,JP,2024-12-09 12:09:41,20
229,villa juarez,24.6536,-107.5411,75.45,38,clear sky,6.91,MX,2024-12-09 12:09:42,0
230,pantai remis,4.4557,100.6288,75.61,95,moderate rain,5.55,MY,2024-12-09 12:09:43,100
231,nuuk,64.1835,-51.7216,29.01,69,broken clouds,25.32,GL,2024-12-09 12:09:44,75
232,tinajo,29.0788,-13.7081,68.88,56,broken clouds,20.71,ES,2024-12-09 12:09:45,75
233,igrim,63.1906,64.4162,17.06,88,broken clouds,10.22,RU,2024-12-09 12:09:47,74
234,dudinka,69.4058,86.1778,12.06,94,light snow,18.52,RU,2024-12-09 12:09:48,100
235,adam,22.3756,57.5233,71.89,33,clear sky,6.49,OM,2024-12-09 12:09:49,1
236,arlington heights,42.0884,-87.9806,49.91,61,clear sky,10.36,US,2024-12-09 12:07:16,0
237,selfoss,63.9331,-20.9971,40.05,81,overcast clouds,17.16,IS,2024-12-09 12:09:51,100
238,lashio,22.9333,97.75,58.41,99,clear sky,0.45,MM,2024-12-09 12:09:53,4
239,aasiaat,68.7098,-52.8699,24.48,89,light snow,5.95,GL,2024-12-09 12:09:54,100
240,pointe-noire,-4.7761,11.8635,79.92,85,scattered clouds,6.42,CG,2024-12-09 12:09:55,31
241,margate,51.3813,1.3862,46.87,83,overcast clouds,5.99,GB,2024-12-09 12:03:59,100
242,beidaihehaibin,39.8222,119.5181,32.81,33,clear sky,4.97,CN,2024-12-09 12:09:57,1
243,atbara,17.7022,33.9864,83.12,25,scattered clouds,11.36,SD,2024-12-09 12:10:00,30
244,nikki,9.9401,3.2108,86.29,22,scattered clouds,3.87,BJ,2024-12-09 12:10:01,38
245,mar del plata,-38.0023,-57.5575,72.52,33,clear sky,10.36,AR,2024-12-09 12:05:23,0
246,montepuez,-13.1256,38.9997,79.12,59,scattered clouds,2.91,MZ,2024-12-09 12:10:03,42
247,kedrovyy,56.1667,91.8167,-9.96,97,broken clouds,5.01,RU,2024-12-09 12:10:04,71
248,urengoy,65.9667,78.3667,13.82,93,overcast clouds,16.71,RU,2024-12-09 12:10:05,100
249,torbeyevo,54.0797,43.2473,27.21,89,overcast clouds,8.63,RU,2024-12-09 12:10:06,100
250,chonchi,-42.6128,-73.8092,61.48,45,scattered clouds,1.99,CL,2024-12-09 12:10:08,49
251,al ghayzah,16.2079,52.176,75.92,62,broken clouds,6.35,YE,2024-12-09 12:10:09,61
252,meadow lakes,61.6247,-149.6011,42.24,66,overcast clouds,5.61,US,2024-12-09 12:10:10,100
253,brookings,44.3114,-96.7984,32.18,85,overcast clouds,20.71,US,2024-12-09 12:10:11,100
254,new norfolk,-42.7826,147.0587,53.92,81,overcast clouds,3.29,AU,2024-12-09 12:10:12,100
255,agat village,13.3886,144.6585,78.37,89,few clouds,8.05,GU,2024-12-09 12:10:13,20
256,luanda,-8.8368,13.2343,80.76,83,scattered clouds,15.23,AO,2024-12-09 12:10:14,47
257,lower hutt,-41.2167,174.9167,59.23,77,clear sky,12.66,NZ,2024-12-09 12:10:15,1
258,conde,-7.2597,-34.9075,85.46,58,broken clouds,16.11,BR,2024-12-09 12:07:51,75
259,pyt-yakh,60.7499,72.8582,14.7,83,overcast clouds,12.1,RU,2024-12-09 12:09:08,100
260,kachug,53.9606,105.8817,-11.29,98,broken clouds,4.03,RU,2024-12-09 12:10:19,51
261,wellington,-41.2866,174.7756,56.86,77,clear sky,12.66,NZ,2024-12-09 12:07:47,0
262,luna,10.9667,123.2333,79.61,89,overcast clouds,11.03,PH,2024-12-09 12:10:21,96
263,nagornyy,52.7959,83.5498,-13.49,100,overcast clouds,1.48,RU,2024-12-09 12:10:22,86
264,willowmore,-33.2926,23.4895,80.46,32,broken clouds,12.88,ZA,2024-12-09 12:10:23,52
265,richards bay,-28.783,32.0377,78.44,85,overcast clouds,15.35,ZA,2024-12-09 12:10:25,100
